number,title,country
57666,KUPAT-HOLIM-CLALIT,IL
57669,DEDIPOWER-AMS www.dedipower.com,GB
57668,ASCEPC,RO
58708,CRP-HK CRP-HK,HK
5529,DIAG-AS,CH
41395,-Reserved AS-,ZZ
52103,DOBROPOLIE-AS,UA
52102,TRIBION,NL
52101,INET-CENTRUM,PL
52100,CABLEONE-AS,LB
52107,CPOINT-AS,UA
52106,GALATEA-AS,PL
52105,BUSCOMP,RS
52104,MTELLLC-AS,RU
52109,RHIAG-AS,IT
52108,ITC-AS,RU
60018,MAXIA,PL
56229,LNS8-MY Block B05/3 Garden City Business Centre,MY
60014,SG-AS,IR
60015,CODESTONECLOUD,GB
60016,ASFS87,CH
60017,ROSTBANK-NET,RU
60010,ILIA-AS,IR
60011,BHOST,GB
49163,KTVAM-AS,AT
60013,EQUINIX-CLOUD-EXCHANGE-LONDON-ASN Equinix Cloud Exchange - London,GB
31162,VERINT-LTD-AS,IL
29658,HEURECOM-AS,DE
43323,PLAYOUT247,GB
21930,INFORMATICA - Informatica Corporation,US
21931,THOMSON-FINANCIAL-VANCOUVER - Thomson Reuters U.S. LLC,US
21932,"AVISTAINC - AVISTA, INCORPORATED",US
21933,21933 - MSC.SOFTWARE CORPORATION,US
21934,VITAC - VITAC Corporation,US
21935,EPSILONDATA50 - Epsilon Data Management,US
21936,DISTRIBUTEL-AS21936 - DISTRIBUTEL COMMUNICATIONS LTD.,CA
21937,EEL-LTL - Estes Express Lines,US
21938,"YAMAHA-DEALERS - YAMAHA MOTOR CORPORATION, U.S.A",US
21939,"E3GROUP - e3-Group, Inc.",US
9336,WWWIRES-AU World Without Wires Pty Ltd,AU
395200,"GS-NETWORKS - Guardian Solutions Holdings, LLC",US
31165,PGF-AS,PL
57085,TELECOM-MEDIA-AS,RU
57084,BJAREKRAFT,SE
57087,BORNET-GMBH,DE
57086,CEDE,CH
57081,SCARFBOT,CZ
57080,BJR-AS Bulevardul Revolutiei nr 66B,RO
57083,BASTADS-KOMMUN,SE
49222,CONNEXION,SE
57089,DE-5POINT-AS,DE
31168,AIRACCESS-AS Fixed wireless services throughout Germany,DE
270,AS270 - National Aeronautics and Space Administration,US
31169,NO-KAPASITETSLAGET-SOGN Providing fiber and wireless access,NO
271,BCNET-AS - BCnet,CA
272,"CTNOSC-ASN-272 - Headquarters, USAISC",US
29654,BACKBONE-AS Dr.-Adolf-Altmann-Str. 30,AT
265108,BRASIL NORTE TELECOMUNICACOES LTDA - ME,BR
265109,VICTÓRIANET - VICTÓRIA & FRANCESCHINI LTDA,BR
273,DNIC-AS-00273 - DoD Network Information Center,US
5606,KQRO Bucharest ROMANIA,RO
265100,FSI Telecomunicacoes LTDA,BR
19977,MBRML-AS - Mayer Brown LLP,US
265102,ARNET- Serviços de Conexão à Internet Ltda.-ME,BR
265103,Biplink Servicos de Comunicação Multimidia Ltda ME,BR
265104,Gelson Pancheski Kavalkieviz Informatica,BR
265105,Viviane Priscila Aversa Fernandes Me,BR
265106,MARIA DA CONCEIÇÃO SANTOS INFORMATICA,BR
19976,"REALPAGE-STARFIRE - Real Page, Inc.",US
15708,ALADDIN-AS former Safenet Knowledge Systems (Israel) Ltd,IL
15709,AS15709 Ferdinand-Braun-Platz 1,DE
276,OTS-AS-276 - University of Texas System,US
53067,ADASTEL - Adamantina Serviços de Telecomunicações,BR
15701,DATAPATHIO,DE
15702,"ONSTAGENET Veranstaltungsinformationen-, bereitstellung Ges.m.b.H",AT
15703,TRUESERVER-AS TrueServer BV AS number,NL
15704,AS15704,ES
50357,BOSNET-AS,RO
15706,Sudatel,SD
15707,INGOSSTRAKH-AS,RU
9757,CMBI-AS-KR CMB DONGSEO BROADCASTING,KR
278,Universidad Nacional Autonoma de Mexico,MX
9755,TT-AS Today and Tomorrow,KR
11407,WARP9-TECH - Warp 9 Technologies,US
9753,DAU-AS Dong-A Universirty,KR
9752,FKNET-IN Flipkart Internet Pvt Ltd,IN
9751,ASN-SAMOATELCO-AP # AS-SAMOATELCO-AP CONVERTED TO ASN-SAMOATELCO-AP FOR RPSL COMPLIANCE AMERICAN SAMOA TELECOMMUNICATIONS AUTHORITY,AS
279,"LVLT-279 - Level 3 Communications, Inc.",US
61455,LACTLD - LATIN AMERICAN AND CARIBBEAN TLD ASSOCIATION,UY
19979,"SIPSTORM-1 - SipStorm, Inc.",US
9759,"CJCYBER-AS HIINVESTMENT SECURITIES CO., LTD",KR
9758,PURPLESTONES-AS-KR purplestones,KR
37304,Tullow,GH
24147,"CNNIC-CBDTELENET-AP BEIJING CBD TELECOM CO,.LTD",CN
24144,YITAIFENG-AS-AP Yitaifeng,CN
19978,IMPSAT FIBER NETWORKS INC,AR
24142,"CNNIC-BENNALONGNET-AP Shanghai Bennalong Network Technology Co.,LTD",CN
24143,CNNIC-QCN-AP Qingdao Cable TV Network Center,CN
24140,"CHINA-21VIANET-AP 21VIANET(CHINA),INC",CN
